127.0.0.1 - - [05/Sep/2023:12:10:12 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:10:14 +0530] "GET /DynaFormApp/ HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:10:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:10:45 +0530] "POST /DynaFormApp/firsturl HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:11:48 +0530] "POST /DynaFormApp/secondurl HTTP/1.1" 500 1352
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:12:31 +0530] "POST /DynaFormApp/secondurl HTTP/1.1" 500 1352
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:12:34 +0530] "POST /DynaFormApp/secondurl HTTP/1.1" 500 1352
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:12:49 +0530] "GET /DynaFormApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:12:55 +0530] "POST /DynaFormApp/firsturl HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:12:58 +0530] "POST /DynaFormApp/secondurl HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:13:02 +0530] "GET /DynaFormApp/input.html HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:13:08 +0530] "POST /DynaFormApp/firsturl HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:13:19 +0530] "POST /DynaFormApp/secondurl HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:28:58 +0530] "POST /DynaFormApp/firsturl HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:29:03 +0530] "POST /DynaFormApp/secondurl HTTP/1.1" 200 225
